tempo,direita,esquerda
1183,33.353,33.608
1184,33.363,33.622
1185,33.33,33.673
1186,33.334,33.612
1187,33.353,33.735
1188,33.297,33.669
1189,33.325,33.702
1190,33.367,33.664
1191,33.377,33.603
1192,33.4,33.688
1193,33.433,33.532
1194,33.301,33.673
1195,33.32,33.678
1196,33.32,33.735
1197,33.334,33.617
1198,33.339,33.561
1199,33.339,33.641
1200,33.349,33.678
1201,33.32,33.551
1202,33.306,33.612
1203,33.358,33.579
1204,33.273,33.594
1205,33.292,33.57
1206,33.264,33.561
1207,33.287,33.551
1208,33.287,33.589
1209,33.278,33.65
1210,33.278,33.664
1211,33.311,33.598
1212,33.325,33.65
1213,33.32,33.603
1214,33.301,33.561
1215,33.283,33.466
1216,33.306,33.575
1217,33.311,33.518
1218,33.306,33.537
1219,33.283,33.612
1220,33.24,33.579
1221,33.254,33.537
1222,33.334,33.669
1223,33.344,33.626
1224,33.301,33.626
1225,33.301,33.603
1226,33.391,33.575
1227,33.259,33.575
1228,33.278,33.532
1229,33.377,33.622
1230,33.297,33.594
1231,33.283,33.622
1232,33.339,33.659
1233,33.254,33.49
1234,33.306,33.561
1235,33.268,33.622
1236,33.259,33.537
1237,33.292,33.523
1238,33.278,33.57
1239,33.306,33.598
1240,33.382,33.594
1241,33.353,33.579
1242,33.316,33.626
1243,33.33,33.636
1244,33.339,33.598
1245,33.268,33.499
1246,33.325,33.471
1247,33.301,33.57
1248,33.311,33.57
1249,33.334,33.499
1250,33.202,33.532
1251,33.221,33.532
1252,33.25,33.561
1253,33.165,33.499
1254,33.16,33.504
1255,33.188,33.485
1256,33.174,33.457
1257,33.179,33.448
1258,33.16,33.589
1259,33.231,33.386
1260,33.198,33.448
1261,33.32,33.448
1262,33.283,33.457
1263,33.221,33.495
1264,33.212,33.499
1265,33.184,33.518
1266,33.25,33.645
1267,33.16,33.429
1268,33.226,33.584
1269,33.283,33.485
1270,33.25,33.575
1271,33.25,33.448
1272,33.184,33.415
1273,33.155,33.415
1274,33.165,33.457
1275,33.179,33.462
1276,33.198,33.514
1277,33.16,33.466
1278,33.193,33.443
1279,33.273,33.485
1280,33.292,33.429
1281,33.188,33.561
1282,33.217,33.551
1283,33.179,33.551
1284,33.127,33.556
1285,33.117,33.49
1286,33.094,33.528
1287,33.202,33.546
1288,33.179,33.457
1289,33.25,33.556
1290,33.231,33.565
1291,33.221,33.448
